"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-04-29",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-04-30",,"0.14",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-01",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-02",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-03",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-05",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-07",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-08",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-09",,"0.68",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-10",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-11",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-12",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-13",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-14",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-16",,"0.94",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-17",,"0.14",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-18",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-19",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-20",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-21",,"0.28",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-22",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-23",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-24",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-25",,"0.66",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-26",,"0.03",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-27",,"0.42",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-28",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-29",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-05-31",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-02",,"0.07",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-03",,"0.09",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-04",,"0.04",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-05",,"0.24",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-07",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-08",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-09",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-11",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-12",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-14",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-15",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-19",,"1.04",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-21",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-22",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-24",,"0.54",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-25",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-26",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-27",,"2.11",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-28",,"0.37",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-06-29",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-04",,"0.40",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-05",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-11",,"0.58",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-12",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-18",,"0.21",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-19",,"3.02",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-20",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-23",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-24",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-07-27",,"3.10",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-07",,"1.10",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-09",,"0.50",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-12",,"0.50",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-13",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-14",,"0.28",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-15",,"0.28",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-16",,"1.78",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-19",,"0.28",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-20",,"2.28",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-21",,"0.28",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-22",,"0.38",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-08-23",,"1.38",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-11",,"0.21",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-13",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-14",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-16",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-17",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-21",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-25",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-26",,"0.90",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-27",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-09-28",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-10-01",,"0.31",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-10-02",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-10-03",,"0.00",,,
"US1INPT0059","OGDEN DUNES 0.6 NE, IN US","2007-10-04",,"0.00",,,
